id,product_id,url,alt_text,position
img_1_1,prod_1,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_9.08.16_PM.png?v=1733627213,A-OK GLITCHED VECTORS TEE,1
img_1_2,prod_1,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_9.08.00_PM.png?v=1733627213,A-OK GLITCHED VECTORS TEE,2
img_2_1,prod_2,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.06.56_PM.png?v=1733627214,A-OK - Basic Ape,1
img_2_2,prod_2,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.07.08_PM.png?v=1733627214,A-OK - Basic Ape,2
img_3_1,prod_3,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.05.47_PM.png?v=1733627215,HALLUCINATED KEYSTROKES TEE,1
img_4_1,prod_4,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.53.46_PM.png?v=1733627214,A-OK - This Ape Is Not Okay,1
img_4_2,prod_4,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.54.00_PM.png?v=1733627214,A-OK - This Ape Is Not Okay,2
img_5_1,prod_5,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.04.17_PM.png?v=1733627214,A-OK SIGNAL IN THE NOISE TEE,1
img_5_2,prod_5,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.04.35_PM.png?v=1733627214,A-OK SIGNAL IN THE NOISE TEE,2
img_6_1,prod_6,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.05.07_PM.png?v=1733627214,A-OK GOT THE KEYS TEE,1
img_6_2,prod_6,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.04.35_PM.png?v=1733627214,A-OK GOT THE KEYS TEE,2
img_7_1,prod_7,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.07.59_PM.png?v=1733627214,A-OK // NEXT.JS IS NICE SPACE APE TEE,1
img_8_1,prod_8,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.07.34_PM.png?v=1733627214,12MM MONKEYS TEE,1
img_9_1,prod_9,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/puppet-master-byron-cropped.png?v=1746981341,A-OK PUPPET MASTER TEE,1
img_9_2,prod_9,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.06.14_PM.png?v=1746981341,A-OK PUPPET MASTER TEE,2
img_9_3,prod_9,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/puppet-master-byron-cropped-back.png?v=1746981341,A-OK PUPPET MASTER TEE,3
img_9_4,prod_9,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot_2024-12-04_at_7.06.28_PM.png?v=1746981341,A-OK PUPPET MASTER TEE,4
img_10_1,prod_10,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Octo_Ape.png?v=1734122567,Octo Ape,1
img_10_2,prod_10,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot2024-12-13at12.30.04PM.png?v=1734121856,A-OK MULTI-MODAL OCTO MAYHEM TEE,2
img_11_1,prod_11,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/Screenshot2024-12-31at1.57.07PM.png?v=1735682269,A-OK 2034 PROPHECY HOODIE,1
img_12_1,prod_12,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/PXL_20250511_232404552.PORTRAIT.jpg?v=1747009219,Ape Logo (Embroidered),1
img_12_2,prod_12,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/PXL_20250511_231831144.MP.jpg?v=1747009219,Ape Logo (Embroidered),2
img_12_3,prod_12,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/just-the-ape-hat.jpg?v=1747009219,Ape Logo (Embroidered),3
img_12_4,prod_12,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/a-ok-lids-print-closeup.png?v=1747009219,Ape Logo (Embroidered),4
img_12_5,prod_12,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/me-in-hat.jpg?v=1747009219,Ape Logo (Embroidered),5
img_12_6,prod_12,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/PXL_20250511_233920122_2.jpg?v=1747009151,Ape Logo (Embroidered),6
img_12_7,prod_12,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/PXL_20250511_232237375.NIGHT.jpg?v=1747009312,Ape Logo (Embroidered),7
img_13_1,prod_13,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/a-ok-lids-front-modeled.png?v=1746932606,A-OK DAY 2 MONKEY HOODIE,1
img_13_2,prod_13,https://cdn.shopify.com/s/files/1/0732/5941/7819/files/50PulloverHoodie.png?v=1746932606,A-OK DAY 2 MONKEY HOODIE,2
